Workload,Project_Name,Work_Units,Nodes,Power_per_Node_kW,Runtime_h,kWh,Perf_W,Key_Risks
Climate Risk and Resilience Modeling,ANL Materials Science Division HPC Lab,54102.21267,51,5.856375297,3.406766145,1286.303333,459.5767632,Dependency on single vendor hardware
Astrophysical Simulations,Tokyo Institute of Technology HPC Center Prediction Unit,55516.03558,60,6.078260102,3.379018663,1260.889259,442.6525915,Underutilization of SIMD instructions
Radiation Transport Modeling,Max Planck Institute for Plasma Physics Technology Development Team,55112.92826,57,6.396945696,3.089625567,1247.833832,425.692033,Fault tolerance under long runs
Geophysical Hazard Prediction,LLNL High Energy Density Physics Group Technology Development Team,51273.4063,51,6.998684871,3.488360674,1296.117198,380.0394404,NUMA-related performance penalties
Turbulent Combustion Modeling,Los Alamos National Laboratory Materials Physics and Applications Data Science Unit,54601.21123,57,7.38008642,3.570938149,1157.862221,369.7468985,Fault tolerance under long runs
Renewable Energy Systems Optimization,University of Illinois National Center for Supercomputing Applications Prediction Unit,53736.14127,53,6.478305975,3.288061755,1285.374956,406.5060597,Debugging complexity in large-scale runs
Geophysical Hazard Prediction,LLNL High Energy Density Physics Group HPC Lab,53060.30016,53,6.653484546,3.234354303,1335.242086,431.1761114,MPI collective operation contention
Nuclear Structure and Reactions Modeling,Columbia University Earth Institute Data Science Unit,49125.63503,54,6.36164184,3.570372601,1139.75806,434.2612055,MPI collective operation contention
High Energy Physics Event Simulation,Cambridge Computational Biology Group Applied Science Group,46530.16202,62,6.214262137,3.491411685,1206.590488,454.581868,NUMA-related performance penalties
Turbulent Combustion Modeling,Los Alamos National Laboratory Materials Physics and Applications Prediction Unit,48636.84145,46,6.159586754,3.616181726,1294.5703,438.0910736,Network latency bottlenecks
Nuclear Structure and Reactions Modeling,MIT Plasma Science and Fusion Center Technology Development Team,56675.76802,49,6.337107617,3.417040614,1111.241512,441.0295844,Network latency bottlenecks
Geophysical Hazard Prediction,Georgia Tech Computational Combustion Laboratory Modeling Team,53725.38896,57,7.295553072,3.24114372,1215.441946,468.825299,Insufficient profiling data for tuning
Quantum Climate Modeling,SLAC National Accelerator Laboratory Machine Learning Group Data Science Unit,53979.24189,52,6.46830757,3.391725705,1273.131587,412.2971255,"Scaling inefficiencies beyond 1,000 nodes"
Accelerator Beam Dynamics Simulation,Oxford Materials Modelling Laboratory Science Collaboration,50829.00742,56,6.066851054,3.141836181,1405.633718,456.6890077,Compiler optimization issues
Renewable Energy Systems Optimization,MIT Plasma Science and Fusion Center Modeling Team,48880.09246,60,5.718373163,3.303187885,1287.714786,391.893329,Insufficient profiling data for tuning
Turbulent Combustion Modeling,Columbia University Earth Institute Simulation Consortium,47443.62995,55,6.411937168,3.534858617,1205.343827,491.5100169,Underutilization of SIMD instructions
Radiation Transport Modeling,Brookhaven National Laboratory Collider-Accelerator Department Simulation Consortium,53793.09806,57,7.049623546,3.313695696,1145.853844,385.3821596,Performance regression with new compiler versions
Quantum Climate Modeling,Harvard Center for the Environment Prediction Unit,56226.46885,53,6.898736394,3.203702189,1257.490237,454.139634,Insufficient profiling data for tuning
Exascale Astrophysical Plasma Simulation,EPFL High Performance Computing Center Science Collaboration,49083.33577,60,6.666730687,3.223074145,1329.891628,456.757183,Scheduler queue delays
Geophysical Hazard Prediction,University of Illinois National Center for Supercomputing Applications Prediction Unit,47130.40035,57,6.225942661,3.09862541,1312.384197,431.4592604,Scheduler queue delays
Molecular Materials Discovery,Brookhaven National Laboratory Collider-Accelerator Department Scientific Computing Division,53951.77165,64,7.252932985,3.905666617,1303.861807,424.5418996,Algorithmic instability with large datasets
Geophysical Hazard Prediction,LLNL High Energy Density Physics Group Data Science Unit,50616.82646,53,6.799683023,3.33409522,1144.737059,469.0411477,MPI collective operation contention
Computational Fluid Dynamics for Energy,MIT Plasma Science and Fusion Center Modeling Team,50724.76841,58,6.02365109,3.526938987,1394.303209,429.9571451,Software stack instability
Extreme-Scale Materials Modeling,Oxford Materials Modelling Laboratory Scientific Computing Division,51111.55583,58,6.392101372,3.671637927,1322.148316,435.0170184,Limited mixed-precision adoption
Geophysical Hazard Prediction,LBNL Computational Research Division Science Collaboration,50339.99636,52,6.194271998,3.526065098,1161.35299,432.1288749,I/O throughput limitations
AI Climate Modeling and Prediction,Stanford Genome Technology Center Simulation Consortium,45421.41715,52,6.274847115,3.224011455,1239.384463,440.9410042,Underutilization of SIMD instructions
Computational Chemistry for Energy Storage,Tokyo Institute of Technology HPC Center Scientific Computing Division,51732.0398,54,6.980800792,3.388959295,1410.472963,420.4523909,Insufficient checkpoint/restart performance
Climate Risk and Resilience Modeling,NERSC Data and Analytics Services Science Collaboration,53368.71123,52,6.577836025,3.393365196,1285.768983,448.5806779,Algorithmic instability with large datasets
Nuclear Structure and Reactions Modeling,LBNL Computational Research Division Research Group,55919.76889,53,6.561649352,3.360025004,1120.105931,405.5831546,I/O throughput limitations
Plasma Fusion Simulation,ORNL Climate Change Science Institute Data Science Unit,47544.89169,50,6.030334131,3.363482703,1247.026279,462.9421565,Performance regression with new compiler versions
Cryogenic Detector Simulation,Princeton Plasma Physics Laboratory Applied Science Group,60176.13457,56,5.679456771,4.029784578,1253.499968,452.0113707,Performance regression with new compiler versions
Accelerator Beam Dynamics Simulation,Los Alamos National Laboratory Materials Physics and Applications Modeling Team,56496.84883,55,6.071304735,3.247596289,1160.434488,473.1572303,Load imbalance in parallel workloads
Computational Fluid Dynamics for Energy,Brookhaven National Laboratory Collider-Accelerator Department Applied Science Group,60393.78868,58,6.17307972,3.171892503,1291.826162,443.60115,Load imbalance in parallel workloads
AI Climate Modeling and Prediction,LLNL High Energy Density Physics Group Scientific Computing Division,49083.56488,52,6.186838194,3.321060802,1249.450162,487.3616472,GPU memory capacity limits
Computational Fluid Dynamics for Energy,Brookhaven National Laboratory Collider-Accelerator Department Science Collaboration,54102.43948,48,6.189927449,3.448194518,1208.726654,451.8130027,Debugging complexity in large-scale runs
Astrophysical Simulations,Princeton Plasma Physics Laboratory Data Science Unit,53457.45224,57,6.171140657,3.576206042,1155.912728,476.2081422,Performance regression with new compiler versions
Genome-scale Systems Biology,Columbia University Earth Institute Prediction Unit,57727.90847,49,6.074419273,3.653908075,1226.069817,411.8409388,I/O throughput limitations
Molecular Materials Discovery,Oxford Materials Modelling Laboratory Science Collaboration,60314.96114,58,5.598282136,3.610600324,1253.352389,403.8542515,"Scaling inefficiencies beyond 1,000 nodes"
Turbulent Combustion Modeling,Harvard Center for the Environment Science Collaboration,53030.99585,50,6.662767649,3.430286459,1185.455617,399.8214839,Fault tolerance under long runs
Extreme-Scale Materials Modeling,Princeton Plasma Physics Laboratory Data Science Unit,47042.20986,54,6.404669876,3.363015499,1196.024147,461.6199487,Insufficient checkpoint/restart performance
Geophysical Hazard Prediction,SLAC National Accelerator Laboratory Machine Learning Group Scientific Computing Division,55375.92682,54,5.852321636,3.658417233,1118.634325,437.4809776,Underutilization of SIMD instructions
Molecular Materials Discovery,Brookhaven National Laboratory Collider-Accelerator Department Scientific Computing Division,55387.05141,53,5.623986424,3.412679742,1197.16484,363.3478948,I/O throughput limitations
Extreme-Scale Materials Modeling,Los Alamos National Laboratory Materials Physics and Applications Scientific Computing Division,48051.11193,60,6.253972429,3.367864265,1257.037715,423.167299,Thermal throttling under sustained load
Renewable Energy Systems Optimization,LLNL High Energy Density Physics Group Research Group,53355.95564,62,6.303786956,3.297347042,1236.933078,460.6353587,Thermal throttling under sustained load
Cryogenic Detector Simulation,Los Alamos National Laboratory Materials Physics and Applications Data Science Unit,52355.18647,56,6.518166186,3.583438535,1240.70689,438.6196736,Power consumption spikes during peak loads
Accelerator Beam Dynamics Simulation,ANL Materials Science Division Scientific Computing Division,45283.90442,58,6.181296333,3.359357934,1330.805157,426.3267896,"Scaling inefficiencies beyond 1,000 nodes"
Molecular Materials Discovery,Oxford Materials Modelling Laboratory Modeling Team,54163.33485,48,6.267580574,3.57331708,1256.658459,446.671471,GPU memory capacity limits
High Energy Physics Event Simulation,EPFL High Performance Computing Center Scientific Computing Division,55055.85804,53,6.351438008,3.639734732,1118.881914,463.2583476,Debugging complexity in large-scale runs
Computational Fluid Dynamics for Energy,NERSC Data and Analytics Services Science Collaboration,54032.10913,59,6.483270575,3.883062743,1246.352021,456.5351696,Insufficient burst buffer capacity
Plasma Fusion Simulation,Los Alamos National Laboratory Materials Physics and Applications Data Science Unit,49821.20338,59,6.047377446,3.261457837,1359.284903,452.3278143,I/O throughput limitations
Computational Fluid Dynamics for Energy,LBNL Computational Research Division Science Collaboration,59761.24108,64,7.245355834,4.264830398,1320.933247,417.839153,Limited mixed-precision adoption
High Energy Physics Event Simulation,Fermilab High Energy Physics Division Scientific Computing Division,51426.58813,51,6.426179673,3.131805834,1254.810769,423.7995187,Unoptimized GPU kernel execution
Molecular Materials Discovery,Oxford Materials Modelling Laboratory Modeling Team,49748.23776,55,7.251372485,3.805586066,1474.601085,380.1002226,Limited algorithmic scalability
Accelerator Beam Dynamics Simulation,Caltech Center for Advanced Computing Data Science Unit,56616.28778,58,6.126618866,3.316971388,1128.52194,417.4441698,Network latency bottlenecks
Exascale Astrophysical Plasma Simulation,MIT Plasma Science and Fusion Center Applied Science Group,52538.76929,57,6.054914552,3.446247816,1116.75158,426.8526341,Software stack instability
Renewable Energy Systems Optimization,Berkeley Quantum Devices Group Research Group,49175.6585,56,6.392151486,3.154216893,1236.197402,440.1227605,Data preprocessing bottlenecks
Quantum Climate Modeling,EPFL High Performance Computing Center Applied Science Group,50343.2022,53,6.15903847,3.209654485,1137.973904,435.127202,Algorithmic instability with large datasets
Turbulent Combustion Modeling,Max Planck Institute for Plasma Physics HPC Lab,52438.36784,58,5.595916502,3.622149709,1194.793593,413.7569639,NUMA-related performance penalties
Cryogenic Detector Simulation,Harvard Center for the Environment Research Group,52601.01624,53,5.988072369,3.327953695,1208.442449,479.4899699,"Scaling inefficiencies beyond 1,000 nodes"
Computational Fluid Dynamics for Energy,LLNL High Energy Density Physics Group Science Collaboration,61079.80816,51,5.957822051,3.644561426,1095.132754,455.2641254,MPI collective operation contention
Turbulent Combustion Modeling,Brookhaven National Laboratory Collider-Accelerator Department Prediction Unit,46312.14074,55,5.976369641,3.610619795,1283.876887,403.2508651,Insufficient burst buffer capacity
AI Climate Modeling and Prediction,Georgia Tech Computational Combustion Laboratory HPC Lab,53197.84826,53,6.589626019,3.382625304,1221.857945,390.6731913,"Scaling inefficiencies beyond 1,000 nodes"
High-Resolution Earth System Simulation,Stanford Genome Technology Center Prediction Unit,52653.94106,59,6.62811145,2.97591726,1214.867616,413.7447022,Limited algorithmic scalability
Exascale Astrophysical Plasma Simulation,Oxford Materials Modelling Laboratory Scientific Computing Division,57951.59822,49,6.475346633,3.293289915,1293.714981,455.5531728,Network latency bottlenecks
Accelerator Beam Dynamics Simulation,Harvard Center for the Environment Simulation Consortium,48088.96384,47,5.910428696,3.813730169,1368.794493,392.1347151,"Scaling inefficiencies beyond 1,000 nodes"
Molecular Materials Discovery,Princeton Plasma Physics Laboratory Simulation Consortium,53388.31475,54,6.17279041,3.27463736,1285.771925,414.6970852,Scheduler queue delays
AI Climate Modeling and Prediction,Stanford Genome Technology Center Data Science Unit,56722.14403,46,6.106284131,3.675880472,1384.4644,465.6951202,"Scaling inefficiencies beyond 1,000 nodes"
Climate Risk and Resilience Modeling,EPFL High Performance Computing Center Research Group,53070.51158,53,6.365879501,3.029865033,1133.006268,453.4179147,Thermal throttling under sustained load
Nuclear Structure and Reactions Modeling,Princeton Plasma Physics Laboratory HPC Lab,51568.21394,57,6.469151991,3.557067619,1179.523011,420.8716983,Performance regression with new compiler versions
Genome-scale Systems Biology,Cambridge Computational Biology Group Technology Development Team,47766.61453,56,6.465152293,3.206890413,1189.337377,391.1451458,Software stack instability
Geophysical Hazard Prediction,Max Planck Institute for Plasma Physics Data Science Unit,44394.66153,50,5.609402038,3.453091198,1222.919109,423.5284031,I/O throughput limitations
High-Resolution Earth System Simulation,Fermilab High Energy Physics Division Technology Development Team,50206.28758,52,6.615820231,3.735883954,1275.596356,448.2846464,Thermal throttling under sustained load
Nuclear Structure and Reactions Modeling,MIT Plasma Science and Fusion Center Research Group,45548.14348,53,6.55602752,3.609282728,1305.775809,417.5898493,Data preprocessing bottlenecks
Extreme-Scale Materials Modeling,SLAC National Accelerator Laboratory Machine Learning Group Modeling Team,55686.85874,56,6.978227085,3.841804354,1192.234935,471.4100704,Limited algorithmic scalability
Turbulent Combustion Modeling,Georgia Tech Computational Combustion Laboratory Data Science Unit,51614.20347,57,6.259799204,3.426437036,1284.79593,397.8429253,Software stack instability
Plasma Fusion Simulation,Oxford Materials Modelling Laboratory Simulation Consortium,45294.65712,57,5.815286642,3.443617754,1265.510911,450.4885287,Insufficient burst buffer capacity
Astrophysical Simulations,LLNL High Energy Density Physics Group Data Science Unit,46437.47092,57,7.06576317,3.548206346,1097.540573,428.3107956,Unoptimized GPU kernel execution
Extreme-Scale Materials Modeling,NERSC Data and Analytics Services Simulation Consortium,51422.00355,54,6.869498812,3.516069092,1220.702179,418.8725104,Insufficient burst buffer capacity
High Energy Physics Event Simulation,MIT Plasma Science and Fusion Center Prediction Unit,54837.833,53,6.152319528,3.479828732,1255.463438,408.3443884,Limited algorithmic scalability
Extreme-Scale Materials Modeling,University of Illinois National Center for Supercomputing Applications Scientific Computing Division,57079.85291,49,6.020358053,3.463477326,1248.703601,402.972035,Data preprocessing bottlenecks
Molecular Materials Discovery,Caltech Center for Advanced Computing Simulation Consortium,50316.97932,57,5.809952223,3.149178481,1169.095567,470.1793257,NUMA-related performance penalties
Genome-scale Systems Biology,Princeton Plasma Physics Laboratory Data Science Unit,55003.30231,55,6.141756456,3.566855875,1271.069248,384.1459962,Software stack instability
